user_name,age_range,review,review_star,list_of_recommends
chacaaa,18 and Under,"suka sama teskturnya bikin wajah jadi lembab banget, tapi perih di mata, terus jadi numbuh jerawat kecil² titik putih banyak banget bergerombolan gitu, terus numbuh jerawat yg gaada isinya gabisa dipencet kaya tekstur wajah, padahal pengin cocok sama sunscreen yg harganya affordable biar bisa dipake boros²😢",1,No
Yeri_wu,25 - 29,"Beli di toko official mereka di shop** karena diskon dan rasa penasaran ku. Wangi nya cukup ganggu menurut ku, tekstur nya agak thick. Lengket banget, bikin wajah ku seperti kilang minyak. Pas aku keringatan jadi ngga sengaja kena mata, ya ampun perih pake banget sampai iritasi mata ku. Ngga lagi deh coba ni ss.",1,No
DeaAgna_,18 and Under,untuk suscreen wardah yang dulu putih hijau udah cocok. tapi pas ganti kemasan sama isinya gacocok. kecewa :( . pengen banget sunscreen yg dulu di produksi lagi huhuuuuu:( makasihhhh. lllllllllllllllllllllllllllllllllllllllllllll,1,No
sophie_,30 - 34,"Sunscreen pertama yang aku coba. Plusnya : ngebuat kulitku lembab dan kenyal, gak bikin jerawatan juga. Minusnya : bikin kulit wajahku kusam bangeeeeetttttt, sampe iyuh sendiri saking kusamnya. Enggak mau repuchase, pengin coba merk lain aja 😂",1,No
natalie_nice,18 and Under,menurutku ini sunscreen yang paling aku gak suka. kenapa krn dia bikin kulit berminyak tambah berminyak terus kek sunscreennya susah ngeresap gitu ke kulit terus spfnya juga cuman 30 dan menurutku lumauan rendah sih jadi buat aku pribadi aku gak suka dan gak reurchase lagi😊,1,No
Nicky13,19 - 24,"we udh make selama setahunan we kira sama kyk sunscreen gel wardah yg warna putih tutup ijo soalnya jaman sma dlu cocok2 aja pake yg itu. eh ternyata formulanya beda sama yg oren ini,soalnya pas gw tanya ke mbak2nya ""ada suncreen wardah spf 30?"" yg di kasih yg oren ini. yaudh we pkk awalnya enak2 aj kyk dingin tnpa sadar timbul bruntusan dan jerawat gede yg klo di pegang sakit. gw kira mungkin krn bntr lg bulanan gw jd biasa aj eh lama2 bruntusan nyebar ke seluruh muka dan jerawat gede2 nongol ampe rahang 😫 dan yah gw stop pkk ini produk dn alhamdulillah jd kempes jerawat gw, bruntusan2 jg udh mulai kering. skrg mlh jd males buat nyari2 suncreen,cuma pindah ke day cream ber spf aj dl sejauh ini cari aman dl 🤧",1,No
Newbornjeje,25 - 29,"tidak cocok dikulit mukaku yg combination to oily, setelah di apply tidak langsung menyerap dg cepat dan membuat wajahku makin kusam dan berminyaknya makin banyak, setelah 2 bulanan aku pake krn sayang ya kalo langsung dibuang akhirnya aku memutuskan utk tdk pake dia lagi",1,No
ArumEndri,18 and Under,"hallo aku kira bakal lumayan buat pergi sebentar ternyata ngga ngaruh di aku bikin kulit kusam , panas , di mata perih :) maaf ya but itu si yang aku rasain , secara tekstur juga ngga bagus di kulit ku susah di blend :)",1,No
Suwaislamiyah10,25 - 29,"sebenernya aku cocok aja pake ini, tapi masalahnya ini kenapa lama banget nyerep di kulit ya kalo lagi males usap usap ya udh aku ratain aja ke kulit terus nunggu 15 menit sampe produk nyerep ke kulit. terus produk ini bikin kulit aku tambah kusem banget. karna aku kalo rapih rapih brgkat kerja suka kedubugan waduh nunggu ini harus nyerep habisin waktu",1,No
smaharaniw,25 - 29,"Iseng nyoba sunscreen punya mama karna punyaku lagi abis waktu itu. Kesan pertama tuh wanginya jeruk banget, agak mengganggu. Trus ternyata dia bikin mukaku bruntusan sama alergi dong, perih banget gitu pas pake. Teksturnya juga lengket. Dipake kena matahari juga makin nambah jerawat",1,No
